Seccion_transv;60°C;75°C;90°C;AWG_kcmils
0,82;0;0;14;18
1,31;0;0;18;16
2,08;15;20;25;14
3,3;20;25;30;12
5,25;30;35;40;10
8,36;40;50;55;8
13,29;55;65;75;6
21,14;70;85;95;4
26,66;85;100;110;3
33,62;95;115;130;2
42,2;110;130;150;1
53,5;125;150;170;1/0
67,44;145;175;195;2/0
85,02;165;200;225;3/0
107,21;195;230;260;4/0
126,67;215;255;290;250
152,01;240;285;320;300
177,34;260;310;350;350
202,68;280;335;380;400
253,35;320;380;430;500
304,02;355;420;475;600
354,69;385;460;520;700
380,02;400;475;535;750
405,36;410;490;555;800
456,03;435;520;585;900
506,07;455;545;615;1000
633,38;495;590;665;1250
760,05;520;625;705;1500
886,73;545;650;735;1750
1013,4;560;665;750;2000
